FEN,Bewertung
5k2/3b2p1/r2p1p1p/1p1P3P/5B2/1PP2P2/5KP1/2R5 b - - 0 31,-135
4bk2/6p1/r2p1p1p/1p1P3P/5B2/1PP2P2/5KP1/2R5 w - - 1 32,133
4bk2/6p1/r2p1p1p/1p1P3P/5BP1/1PP2P2/5K2/2R5 b - - 0 32,-127
5k2/5bp1/r2p1p1p/1p1P3P/5BP1/1PP2P2/5K2/2R5 w - - 1 33,125
5k2/5bp1/r2p1p1p/1p1P3P/2P2BP1/1P3P2/5K2/2R5 b - - 0 33,-128
4k3/5bp1/r2p1p1p/1p1P3P/2P2BP1/1P3P2/5K2/2R5 w - - 1 34,158
4k3/5bp1/r2p1p1p/1P1P3P/5BP1/1P3P2/5K2/2R5 b - - 0 34,-96
4k3/5bp1/1r1p1p1p/1P1P3P/5BP1/1P3P2/5K2/2R5 w - - 1 35,75
4k3/5bp1/1r1p1p1p/1P1P3P/1P3BP1/5P2/5K2/2R5 b - - 0 35,-27
4k3/6p1/1r1p1p1p/1P1b3P/1P3BP1/5P2/5K2/2R5 w - - 0 36,19
4k3/6p1/1r1p1p1p/1P1b3P/1P3BP1/5P2/5K2/R7 b - - 1 36,-18
4k3/6p1/3p1p1p/1r1b3P/1P3BP1/5P2/5K2/R7 w - - 0 37,44
4k3/6p1/3B1p1p/1r1b3P/1P4P1/5P2/5K2/R7 b - - 0 37,-45
8/5kp1/3B1p1p/1r1b3P/1P4P1/5P2/5K2/R7 w - - 1 38,39
8/5kp1/3B1p1p/1r1b3P/1P3PP1/8/5K2/R7 b - - 0 38,-15
8/1r3kp1/3B1p1p/3b3P/1P3PP1/8/5K2/R7 w - - 1 39,130
8/1r3kp1/5p1p/2Bb3P/1P3PP1/8/5K2/R7 b - - 2 39,-21
8/3r1kp1/5p1p/2Bb3P/1P3PP1/8/5K2/R7 w - - 3 40,100
8/3r1kp1/5p1p/1PBb3P/5PP1/8/5K2/R7 b - - 0 40,-105
8/2r2kp1/5p1p/1PBb3P/5PP1/8/5K2/R7 w - - 1 41,104
8/2r2kp1/5p1p/1PBb3P/5PP1/8/5K2/2R5 b - - 2 41,-123
4k3/2r3p1/5p1p/1PBb3P/5PP1/8/5K2/2R5 w - - 3 42,146
4k3/2r3p1/1P3p1p/2Bb3P/5PP1/8/5K2/2R5 b - - 0 42,-128
4k3/5rp1/1P3p1p/2Bb3P/5PP1/8/5K2/2R5 w - - 1 43,195
4k3/5rp1/1P3p1p/2Bb3P/5PP1/8/5K2/3R4 b - - 2 43,-160
4k3/5rp1/1Pb2p1p/2B4P/5PP1/8/5K2/3R4 w - - 3 44,159
4k3/5rp1/1PbR1p1p/2B4P/5PP1/8/5K2/8 b - - 4 44,-147
4k3/1b3rp1/1P1R1p1p/2B4P/5PP1/8/5K2/8 w - - 5 45,146
4k3/1b3rp1/1P3p1p/2B4P/3R1PP1/8/5K2/8 b - - 6 45,-138
4k3/5rp1/bP3p1p/2B4P/3R1PP1/8/5K2/8 w - - 7 46,138
4k3/5rp1/bP1R1p1p/2B4P/5PP1/8/5K2/8 b - - 8 46,-136
4k3/1b3rp1/1P1R1p1p/2B4P/5PP1/8/5K2/8 w - - 9 47,133
4k3/1b3rp1/1P3p1p/2B4P/5PP1/3R4/5K2/8 b - - 10 47,-143
2b1k3/5rp1/1P3p1p/2B4P/5PP1/3R4/5K2/8 w - - 11 48,140
2b1k3/5rp1/1P3p1p/2B4P/5PP1/3R2K1/8/8 b - - 12 48,-144
4k3/5rp1/bP3p1p/2B4P/5PP1/3R2K1/8/8 w - - 13 49,134
4k3/5rp1/bP1R1p1p/2B4P/5PP1/6K1/8/8 b - - 14 49,-133
2b1k3/5rp1/1P1R1p1p/2B4P/5PP1/6K1/8/8 w - - 15 50,140
2b1k3/5rp1/1P3p1p/2B4P/5PP1/6K1/3R4/8 b - - 16 50,-134
4k3/5rp1/bP3p1p/2B4P/5PP1/6K1/3R4/8 w - - 17 51,130
4k3/5rp1/bP3p1p/2B4P/3R1PP1/6K1/8/8 b - - 18 51,-133
2b1k3/5rp1/1P3p1p/2B4P/3R1PP1/6K1/8/8 w - - 19 52,130
2b1k3/5rp1/1P1R1p1p/2B4P/5PP1/6K1/8/8 b - - 20 52,-134
4k3/1b3rp1/1P1R1p1p/2B4P/5PP1/6K1/8/8 w - - 21 53,133
4k3/1b3rp1/1P1R1p1p/2B2P1P/6P1/6K1/8/8 b - - 0 53,-132
4k3/5rp1/bP1R1p1p/2B2P1P/6P1/6K1/8/8 w - - 1 54,129
4k3/5rp1/bP1R1p1p/2B2P1P/5KP1/8/8/8 b - - 2 54,-132
4k3/1b3rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 w - - 3 55,132
4k3/1b3rp1/1P1R1p1p/2B2P1P/6P1/6K1/8/8 b - - 4 55,-136
4k3/5rp1/bP1R1p1p/2B2P1P/6P1/6K1/8/8 w - - 5 56,125
4k3/5rp1/bP3p1p/2B2P1P/3R2P1/6K1/8/8 b - - 6 56,-124
4k3/1b3rp1/1P3p1p/2B2P1P/3R2P1/6K1/8/8 w - - 7 57,123
4k3/1b3rp1/1P3p1p/2B2P1P/3R1KP1/8/8/8 b - - 8 57,-121
4k3/5rp1/1Pb2p1p/2B2P1P/3R1KP1/8/8/8 w - - 9 58,120
4k3/5rp1/1Pb2p1p/2B2P1P/5KP1/8/8/3R4 b - - 10 58,-116
4k3/1b3rp1/1P3p1p/2B2P1P/5KP1/8/8/3R4 w - - 11 59,113
4k3/1b3rp1/1P3p1p/2B2P1P/5KP1/3R4/8/8 b - - 12 59,-120
4k3/5rp1/1Pb2p1p/2B2P1P/5KP1/3R4/8/8 w - - 13 60,114
4k3/5rp1/1PbR1p1p/2B2P1P/5KP1/8/8/8 b - - 14 60,-120
4k3/1b3rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 w - - 15 61,121
4k3/1b3rp1/1P3p1p/2B2P1P/3R1KP1/8/8/8 b - - 16 61,-122
4k3/5rp1/1Pb2p1p/2B2P1P/3R1KP1/8/8/8 w - - 17 62,114
4k3/5rp1/1Pb2p1p/2B2P1P/5KP1/8/8/3R4 b - - 18 62,-124
4k3/1b3rp1/1P3p1p/2B2P1P/5KP1/8/8/3R4 w - - 19 63,113
4k3/1b3rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 b - - 20 63,-108
2b1k3/5rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 w - - 21 64,105
2b1k3/5rp1/1P2Rp1p/2B2P1P/5KP1/8/8/8 b - - 22 64,-103
2b5/3k1rp1/1P2Rp1p/2B2P1P/5KP1/8/8/8 w - - 23 65,102
2b5/3k1rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 b - - 24 65,-102
2b1k3/5rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 w - - 25 66,97
2b1k3/5rp1/1P3p1p/2B2P1P/3R1KP1/8/8/8 b - - 26 66,-101
4k3/1b3rp1/1P3p1p/2B2P1P/3R1KP1/8/8/8 w - - 27 67,97
4k3/1b3rp1/1P3p1p/2B2P1P/5KP1/8/3R4/8 b - - 28 67,-96
4k3/5rp1/1Pb2p1p/2B2P1P/5KP1/8/3R4/8 w - - 29 68,104
4k3/5rp1/1Pb2p1p/2B2P1P/6P1/4K3/3R4/8 b - - 30 68,-96
4k3/1b3rp1/1P3p1p/2B2P1P/6P1/4K3/3R4/8 w - - 31 69,89
4k3/1b3rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 b - - 32 69,-101
2b1k3/5rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 w - - 33 70,137
2b1k3/5rp1/1P1R1p1p/2B2P1P/6P1/3K4/8/8 b - - 34 70,-135
4k3/1b3rp1/1P1R1p1p/2B2P1P/6P1/3K4/8/8 w - - 35 71,179
4k3/1b3rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 b - - 36 71,-97
2b1k3/5rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 w - - 37 72,128
2b1k3/5rp1/1P1R1p1p/2B2P1P/6P1/8/3K4/8 b - - 38 72,-92
4k3/1b3rp1/1P1R1p1p/2B2P1P/6P1/8/3K4/8 w - - 39 73,92
4k3/1b3rp1/1P1R1p1p/2B2P1P/6P1/8/4K3/8 b - - 40 73,-93
b3k3/5rp1/1P1R1p1p/2B2P1P/6P1/8/4K3/8 w - - 41 74,97
b3k3/5rp1/1P2Rp1p/2B2P1P/6P1/8/4K3/8 b - - 42 74,-115
b2k4/5rp1/1P2Rp1p/2B2P1P/6P1/8/4K3/8 w - - 43 75,128
b2k4/5rp1/1P1R1p1p/2B2P1P/6P1/8/4K3/8 b - - 44 75,-138
b1k5/5rp1/1P1R1p1p/2B2P1P/6P1/8/4K3/8 w - - 45 76,158
b1k5/5rp1/1P1R1p1p/2B2P1P/6P1/8/5K2/8 b - - 46 76,-166
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/8/5K2/8 w - - 47 77,155
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/6K1/8/8 b - - 48 77,-163
2k5/5rp1/bP1R1p1p/2B2P1P/6P1/6K1/8/8 w - - 49 78,154
2k5/5rp1/bP1R1p1p/5P1P/6P1/B5K1/8/8 b - - 50 78,-162
2k5/1b3rp1/1P1R1p1p/5P1P/6P1/B5K1/8/8 w - - 51 79,160
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/6K1/8/8 b - - 52 79,-151
2k5/5rp1/bP1R1p1p/2B2P1P/6P1/6K1/8/8 w - - 53 80,142
2k5/5rp1/bP1R1p1p/2B2P1P/5KP1/8/8/8 b - - 54 80,-142
2k5/1b3rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 w - - 55 81,145
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 b - - 56 81,-146
2k5/5rp1/bP1R1p1p/2B2P1P/6P1/4K3/8/8 w - - 57 82,147
2k5/5rp1/bP1R1p1p/2B2P1P/6P1/5K2/8/8 b - - 58 82,-147
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/5K2/8/8 w - - 59 83,136
2k5/1b3rp1/1P1R1p1p/2B2P1P/5KP1/8/8/8 b - - 60 83,-137
2k5/5rp1/1P1R1p1p/2B2P1P/5KP1/8/8/7b w - - 61 84,136
2k5/5rp1/1P2Rp1p/2B2P1P/5KP1/8/8/7b b - - 62 84,-142
3k4/5rp1/1P2Rp1p/2B2P1P/5KP1/8/8/7b w - - 63 85,141
3k4/5rp1/1P1R1p1p/2B2P1P/5KP1/8/8/7b b - - 64 85,-128
2k5/5rp1/1P1R1p1p/2B2P1P/5KP1/8/8/7b w - - 65 86,135
2k5/5rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/7b b - - 66 86,-126
2k5/5rp1/1P1R1p1p/2B2P1P/6P1/4K3/6b1/8 w - - 67 87,126
2k5/5rp1/1P1R1p1p/2B2P1P/6P1/8/4K1b1/8 b - - 68 87,-119
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/8/4K3/8 w - - 69 88,128
2k5/1b3rp1/1P3p1p/2B2P1P/6P1/8/4K3/3R4 b - - 70 88,-112
2k5/5rp1/1Pb2p1p/2B2P1P/6P1/8/4K3/3R4 w - - 71 89,113
2k5/5rp1/1Pb2p1p/2B2P1P/6P1/8/5K2/3R4 b - - 72 89,-122
2k5/1b3rp1/1P3p1p/2B2P1P/6P1/8/5K2/3R4 w - - 73 90,113
2k5/1b3rp1/1P3p1p/2B2P1P/6P1/4K3/8/3R4 b - - 74 90,-111
2k5/5rp1/1Pb2p1p/2B2P1P/6P1/4K3/8/3R4 w - - 75 91,99
2k5/5rp1/1PbR1p1p/2B2P1P/6P1/4K3/8/8 b - - 76 91,-87
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 w - - 77 92,113
2k5/1b3rp1/1P3p1p/2B2P1P/3R2P1/4K3/8/8 b - - 78 92,-104
2k5/5rp1/1Pb2p1p/2B2P1P/3R2P1/4K3/8/8 w - - 79 93,98
2k5/5rp1/1Pb2p1p/2B2P1P/6P1/4K3/3R4/8 b - - 80 93,-80
2k5/1b3rp1/1P3p1p/2B2P1P/6P1/4K3/3R4/8 w - - 81 94,67
2k5/1b3rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 b - - 82 94,-58
b1k5/5rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 w - - 83 95,60
b1k5/5rp1/1P2Rp1p/2B2P1P/6P1/4K3/8/8 b - - 84 95,-44
b7/3k1rp1/1P2Rp1p/2B2P1P/6P1/4K3/8/8 w - - 85 96,43
b7/3k1rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 b - - 86 96,-40
b1k5/5rp1/1P1R1p1p/2B2P1P/6P1/4K3/8/8 w - - 87 97,35
b1k5/5rp1/1P1R1p1p/5P1P/1B4P1/4K3/8/8 b - - 88 97,-34
2k5/1b3rp1/1P1R1p1p/5P1P/1B4P1/4K3/8/8 w - - 89 98,29
2k5/1b3rp1/1P3p1p/5P1P/1B4P1/4K3/3R4/8 b - - 90 98,-20
2k5/5rp1/1Pb2p1p/5P1P/1B4P1/4K3/3R4/8 w - - 91 99,23
2k5/5rp1/1Pb2p1p/5P1P/1B4P1/8/3R1K2/8 b - - 92 99,-16
2k5/1b3rp1/1P3p1p/5P1P/1B4P1/8/3R1K2/8 w - - 93 100,16
2k5/1b3rp1/1P3p1p/5P1P/1B4P1/8/2R2K2/8 b - - 94 100,-13
8/1b1k1rp1/1P3p1p/5P1P/1B4P1/8/2R2K2/8 w - - 95 101,8
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-24
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,35
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-32
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,51
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-16
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,15
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,15
r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,-9
r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 1 5,67
r1bqkb1r/pppp1ppp/2n5/4p3/2B5/2n2N2/PPPP1PPP/R1BQ1RK1 w kq - 0 6,-85
r1bqkb1r/pppp1ppp/2n5/4p3/2B5/2P2N2/PPP2PPP/R1BQ1RK1 b kq - 0 6,75
r1bqkb1r/pppp1pp1/2n4p/4p3/2B5/2P2N2/PPP2PPP/R1BQ1RK1 w kq - 0 7,-57
r1bqkb1r/pppp1pp1/2n4p/3Qp3/2B5/2P2N2/PPP2PPP/R1B2RK1 b kq - 1 7,97
r1b1kb1r/pppp1pp1/2n2q1p/3Qp3/2B5/2P2N2/PPP2PPP/R1B2RK1 w kq - 2 8,-78
r1b1kb1r/pppp1pp1/2n2q1p/3Qp3/2B5/2P2N2/PPP2PPP/R1B1R1K1 b kq - 3 8,118
r1b1kb1r/ppp2pp1/2np1q1p/3Qp3/2B5/2P2N2/PPP2PPP/R1B1R1K1 w kq - 0 9,-122
r1b1kb1r/ppp2pp1/2np1q1p/1B1Qp3/8/2P2N2/PPP2PPP/R1B1R1K1 b kq - 1 9,116
r3kb1r/pppb1pp1/2np1q1p/1B1Qp3/8/2P2N2/PPP2PPP/R1B1R1K1 w kq - 2 10,-116
r3kb1r/pppb1pp1/2np1q1p/1B1Qp3/3N4/2P5/PPP2PPP/R1B1R1K1 b kq - 3 10,114
r2nkb1r/pppb1pp1/3p1q1p/1B1Qp3/3N4/2P5/PPP2PPP/R1B1R1K1 w kq - 4 11,-120
r2nkb1r/pppB1pp1/3p1q1p/3Qp3/3N4/2P5/PPP2PPP/R1B1R1K1 b kq - 0 11,114
r2n1b1r/pppk1pp1/3p1q1p/3Qp3/3N4/2P5/PPP2PPP/R1B1R1K1 w - - 0 12,-121
r2n1b1r/pppk1pp1/3p1q1p/3Qp3/8/2P2N2/PPP2PPP/R1B1R1K1 b - - 1 12,123
r2n1b1r/pp1k1pp1/2pp1q1p/3Qp3/8/2P2N2/PPP2PPP/R1B1R1K1 w - - 0 13,-80
r2n1b1r/pp1k1pp1/2pp1q1p/Q3p3/8/2P2N2/PPP2PPP/R1B1R1K1 b - - 1 13,111
r4b1r/pp1k1pp1/2ppnq1p/Q3p3/8/2P2N2/PPP2PPP/R1B1R1K1 w - - 2 14,-82
r4b1r/pp1k1pp1/2ppnq1p/Q3p3/8/2P1BN2/PPP2PPP/R3R1K1 b - - 3 14,73
r1k2b1r/pp3pp1/2ppnq1p/Q3p3/8/2P1BN2/PPP2PPP/R3R1K1 w - - 4 15,-86
r1k2b1r/pp3pp1/2ppnq1p/Q3p3/2P5/4BN2/PPP2PPP/R3R1K1 b - - 0 15,71
r1kq1b1r/pp3pp1/2ppn2p/Q3p3/2P5/4BN2/PPP2PPP/R3R1K1 w - - 1 16,10
r1kq1b1r/pp3pp1/2ppn2p/4p3/2P5/2Q1BN2/PPP2PPP/R3R1K1 b - - 2 16,18
r1k2b1r/ppq2pp1/2ppn2p/4p3/2P5/2Q1BN2/PPP2PPP/R3R1K1 w - - 3 17,7
r1k2b1r/ppq2pp1/2ppn2p/4p3/P1P5/2Q1BN2/1PP2PPP/R3R1K1 b - - 0 17,24
r1k2b1r/1pq2pp1/2ppn2p/p3p3/P1P5/2Q1BN2/1PP2PPP/R3R1K1 w - - 0 18,-33
r1k2b1r/1pq2pp1/2ppn2p/p1P1p3/P7/2Q1BN2/1PP2PPP/R3R1K1 b - - 0 18,35
r1k2b1r/1pq2pp1/2ppn2p/p1P5/P3p3/2Q1BN2/1PP2PPP/R3R1K1 w - - 0 19,-45
r1k2b1r/1pq2pp1/2pPn2p/p7/P3p3/2Q1BN2/1PP2PPP/R3R1K1 b - - 0 19,49
r1k4r/1pq2pp1/2pbn2p/p7/P3p3/2Q1BN2/1PP2PPP/R3R1K1 w - - 0 20,-54
r1k4r/1pq2pp1/2pbn2p/p7/P3p3/2Q1B3/1PPN1PPP/R3R1K1 b - - 1 20,54
r1k4r/1pq2pp1/2p1n2p/p7/P3p3/2Q1B3/1PPN1PPb/R3R1K1 w - - 0 21,-54
r1k4r/1pq2pp1/2p1n2p/p7/P3p3/2Q1B3/1PPN1PPb/R3RK2 b - - 1 21,54
r1k4r/1pq2pp1/2p1n2p/p3b3/P3p3/2Q1B3/1PPN1PP1/R3RK2 w - - 2 22,-54
r1k4r/1pq2pp1/2p1n2p/p3b3/P3p3/1Q2B3/1PPN1PP1/R3RK2 b - - 3 22,60
r1k4r/1p2qpp1/2p1n2p/p3b3/P3p3/1Q2B3/1PPN1PP1/R3RK2 w - - 4 23,-51
r1k4r/1p2qpp1/2p1n2p/p3b3/P3N3/1Q2B3/1PP2PP1/R3RK2 b - - 0 23,111
r1k4r/1p3pp1/2p1n2p/p3b3/P3N2q/1Q2B3/1PP2PP1/R3RK2 w - - 1 24,0
r1k4r/1p3pp1/2p1n2p/p3b3/P3N2q/1Q2BP2/1PP3P1/R3RK2 b - - 0 24,0
r1kr4/1p3pp1/2p1n2p/p3b3/P3N2q/1Q2BP2/1PP3P1/R3RK2 w - - 1 25,-6
r1kr4/1p3pp1/2p1n2p/p3b3/P3N2q/1QP1BP2/1P4P1/R3RK2 b - - 0 25,10
r1kr4/1p3p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/R3RK2 w - - 0 26,11
r1kr4/1p3p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/3RRK2 b - - 1 26,-10
r1k5/1p3p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/3rRK2 w - - 0 27,23
r1k5/1p3p2/2p1n2p/p3b1p1/P3N2q/2P1BP2/1P4P1/3QRK2 b - - 0 27,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N3/2P1BP2/1P4P1/3QRK1q w - - 1 28,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N3/2P1BP2/1P3KP1/3QR2q b - - 2 28,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N2q/2P1BP2/1P3KP1/3QR3 w - - 3 29,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N2q/2P1BP2/1P4P1/3QRK2 b - - 4 29,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N3/2P1BP2/1P4P1/3QRK1q w - - 5 30,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N3/2P1BP2/1P3KP1/3QR2q b - - 6 30,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N2q/2P1BP2/1P3KP1/3QR3 w - - 7 31,0
r1k5/1p3p2/2p1n2p/p3b1p1/P3N2q/2P1BP2/1P4P1/3QRK2 b - - 8 31,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/2P1BP2/1P4P1/3QRK2 w - - 9 32,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/4RK2 b - - 10 32,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P4P1/4RK1q w - - 11 33,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P3KP1/4R2q b - - 12 33,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P3KP1/4R3 w - - 13 34,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/4RK2 b - - 14 34,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P4P1/4RK1q w - - 15 35,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P3KP1/4R2q b - - 16 35,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P3KP1/4R3 w - - 17 36,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/4RK2 b - - 18 36,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P4P1/4RK1q w - - 19 37,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P3KP1/4R2q b - - 20 37,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P3KP1/4R3 w - - 21 38,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/4RK2 b - - 22 38,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P4P1/4RK1q w - - 23 39,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N3/1QP1BP2/1P3KP1/4R2q b - - 24 39,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P3KP1/4R3 w - - 25 40,0
r7/1pk2p2/2p1n2p/p3b1p1/P3N2q/1QP1BP2/1P4P1/4RK2 b - - 26 40,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-35
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,30
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-31
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,41
rnbqkb1r/pppp1ppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-43
rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 0 4,42
rnbqkb1r/ppp2ppp/3p1n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 4,-36
rnbqkb1r/ppp2ppp/3p4/8/4n3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 5,38
rnbqkb1r/ppp2ppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,-39
rnbqk2r/ppp1bppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 6,36
rnbqk2r/ppp1bppp/3p4/8/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 2 6,-40
rnbqk2r/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 0 7,43
rnbqk2r/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQ1RK1 b kq - 1 7,-43
r1bqk2r/ppp1bppp/2n5/3p4/3Pn3/3B1N2/PPP2PPP/RNBQ1RK1 w kq - 2 8,45
r1bqk2r/ppp1bppp/2n5/3p4/3Pn3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq - 3 8,-47
r1bqk2r/ppp1bppp/2n2n2/3p4/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 w kq - 4 9,53
r1bqk2r/ppp1bppp/2n2n2/3p4/3P4/P1NB1N2/1PP2PPP/R1BQ1RK1 b kq - 0 9,-22
r1bq1rk1/ppp1bppp/2n2n2/3p4/3P4/P1NB1N2/1PP2PPP/R1BQ1RK1 w - - 1 10,62
r1bq1rk1/ppp1bppp/2n2n2/3p4/3P4/P1NB1N1P/1PP2PP1/R1BQ1RK1 b - - 0 10,-60
r1bq1rk1/1pp1bppp/p1n2n2/3p4/3P4/P1NB1N1P/1PP2PP1/R1BQ1RK1 w - - 0 11,67
r1bq1rk1/1pp1bppp/p1n2n2/3p4/3P1B2/P1NB1N1P/1PP2PP1/R2Q1RK1 b - - 1 11,-62
r2q1rk1/1pp1bppp/p1n1bn2/3p4/3P1B2/P1NB1N1P/1PP2PP1/R2Q1RK1 w - - 2 12,69
r2q1rk1/1pp1bppp/p1n1bn2/3p4/3P1B2/P1NB1N1P/1PP2PP1/R2QR1K1 b - - 3 12,-64
r2qr1k1/1pp1bppp/p1n1bn2/3p4/3P1B2/P1NB1N1P/1PP2PP1/R2QR1K1 w - - 4 13,61
r2qr1k1/1pp1bppp/p1n1bn2/3p4/3P1B2/P1NB1N1P/1PPQ1PP1/R3R1K1 b - - 5 13,-67
r2qrbk1/1pp2ppp/p1n1bn2/3p4/3P1B2/P1NB1N1P/1PPQ1PP1/R3R1K1 w - - 6 14,56
r2qrbk1/1pp2ppp/p1n1bn2/3p4/3P1B2/P1NBRN1P/1PPQ1PP1/R5K1 b - - 7 14,-46
r2qrbk1/1pp2pp1/p1n1bn1p/3p4/3P1B2/P1NBRN1P/1PPQ1PP1/R5K1 w - - 0 15,109
r2qrbk1/1pp2pp1/p1n1bn1p/3p4/3P1B2/P2BRN1P/1PPQNPP1/R5K1 b - - 1 15,-81
r2qrbk1/1pp2p2/p1n1bnpp/3p4/3P1B2/P2BRN1P/1PPQNPP1/R5K1 w - - 0 16,202
r2qrbk1/1pp2p2/p1n1bnpp/3p4/3P1B2/P2BRN1P/1PPQNPP1/4R1K1 b - - 1 16,-187
r2qr1k1/1pp2pb1/p1n1bnpp/3p4/3P1B2/P2BRN1P/1PPQNPP1/4R1K1 w - - 2 17,194
r2qr1k1/1pp2pb1/p1n1bnpp/3p4/3P1B2/P2BRNNP/1PPQ1PP1/4R1K1 b - - 3 17,-208
