FEN,Bewertung
8/p2rkpp1/1p2n1p1/6P1/1P6/R5BP/P4PK1/8 b - - 0 38,3
8/p2rkpp1/1p4p1/6P1/1P1n4/R5BP/P4PK1/8 w - - 1 39,-4
8/p2rkpp1/1p4p1/6P1/1P1n4/4R1BP/P4PK1/8 b - - 2 39,5
8/p2rkpp1/1p2n1p1/6P1/1P6/4R1BP/P4PK1/8 w - - 3 40,-3
8/p2rkpp1/1p2n1p1/6P1/1P5P/4R1B1/P4PK1/8 b - - 0 40,3
8/p2rk1p1/1p2npp1/6P1/1P5P/4R1B1/P4PK1/8 w - - 0 41,-4
8/p2rk1p1/1p2npp1/6P1/1P5P/5RB1/P4PK1/8 b - - 1 41,2
8/p2rk1p1/1p3pp1/6P1/1P1n3P/5RB1/P4PK1/8 w - - 2 42,-2
8/p2rk1p1/1p3pp1/6P1/1P1n3P/4R1B1/P4PK1/8 b - - 3 42,1
8/p2r1kp1/1p3pp1/6P1/1P1n3P/4R1B1/P4PK1/8 w - - 4 43,-3
8/p2r1kp1/1p3pp1/6P1/1P1n3P/2R3B1/P4PK1/8 b - - 5 43,1
8/p2r1kp1/1p2npp1/6P1/1P5P/2R3B1/P4PK1/8 w - - 6 44,-1
8/p2r1kp1/1p2npp1/6P1/1P5P/5RB1/P4PK1/8 b - - 7 44,2
8/p2r1kp1/1p3pp1/6P1/1P1n3P/5RB1/P4PK1/8 w - - 8 45,-3
8/p2r1kp1/1p3pp1/6P1/1P1n3P/2R3B1/P4PK1/8 b - - 9 45,0
8/p2r2p1/1p2kpp1/6P1/1P1n3P/2R3B1/P4PK1/8 w - - 10 46,-1
8/p2r2p1/1p2kpp1/6P1/PP1n3P/2R3B1/5PK1/8 b - - 0 46,2
8/p2r2p1/1p3pp1/3k2P1/PP1n3P/2R3B1/5PK1/8 w - - 1 47,-2
2R5/p2r2p1/1p3pp1/3k2P1/PP1n3P/6B1/5PK1/8 b - - 2 47,0
2R5/p2r2p1/1p2npp1/3k2P1/PP5P/6B1/5PK1/8 w - - 3 48,-3
4R3/p2r2p1/1p2npp1/3k2P1/PP5P/6B1/5PK1/8 b - - 4 48,3
4R3/p2r2p1/1p3pp1/3k2P1/PP1n3P/6B1/5PK1/8 w - - 5 49,0
2R5/p2r2p1/1p3pp1/3k2P1/PP1n3P/6B1/5PK1/8 b - - 6 49,2
2R5/p2r2p1/1p3pp1/6P1/PP1nk2P/6B1/5PK1/8 w - - 7 50,0
2R5/p2r2p1/1p3pp1/P5P1/1P1nk2P/6B1/5PK1/8 b - - 0 50,-3
2R5/p2r2p1/1p4p1/P5p1/1P1nk2P/6B1/5PK1/8 w - - 0 51,4
2R5/p2r2p1/1p4p1/P5P1/1P1nk3/6B1/5PK1/8 b - - 0 51,-2
2R5/p2r2p1/1p4p1/P2k2P1/1P1n4/6B1/5PK1/8 w - - 1 52,3
2R5/p2r2p1/1p4p1/P2k2P1/1P1n4/5PB1/6K1/8 b - - 0 52,-4
2R5/p2r2p1/1pn3p1/P2k2P1/1P6/5PB1/6K1/8 w - - 1 53,-1
2R5/p2r2p1/1pn3p1/P2k2P1/1P6/5P2/6K1/4B3 b - - 2 53,3
2R5/p2rn1p1/1p4p1/P2k2P1/1P6/5P2/6K1/4B3 w - - 3 54,0
8/p2rn1p1/1p4p1/P2k2P1/1P6/5P2/2R3K1/4B3 b - - 4 54,3
8/p2r2p1/1pn3p1/P2k2P1/1P6/5P2/2R3K1/4B3 w - - 5 55,0
8/p2r2p1/1pn3p1/P2k2P1/1P6/2B2P2/2R3K1/8 b - - 6 55,0
8/p4rp1/1pn3p1/P2k2P1/1P6/2B2P2/2R3K1/8 w - - 7 56,0
8/p4rp1/1Pn3p1/3k2P1/1P6/2B2P2/2R3K1/8 b - - 0 56,0
8/5rp1/1pn3p1/3k2P1/1P6/2B2P2/2R3K1/8 w - - 0 57,0
8/5rp1/1pn3p1/3k2P1/1P6/2B2P2/3R2K1/8 b - - 1 57,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/3R2K1/8 w - - 2 58,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/4R1K1/8 b - - 3 58,0
8/3k1rp1/1pn3p1/6P1/1P6/2B2P2/4R1K1/8 w - - 4 59,0
8/3k1rp1/1pn3p1/6P1/1P6/2B2P2/3R2K1/8 b - - 5 59,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/3R2K1/8 w - - 6 60,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/4R1K1/8 b - - 7 60,0
8/5rp1/1pnk2p1/6P1/1P6/2B2P2/4R1K1/8 w - - 8 61,0
8/5rp1/1pnk2p1/6P1/1P6/2B2P2/3R2K1/8 b - - 9 61,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/3R2K1/8 w - - 10 62,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/4R1K1/8 b - - 11 62,0
8/3k1rp1/1pn3p1/6P1/1P6/2B2P2/4R1K1/8 w - - 12 63,0
8/3k1rp1/1pn3p1/6P1/1P6/2B2P2/3R2K1/8 b - - 13 63,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/3R2K1/8 w - - 14 64,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/4R1K1/8 b - - 15 64,0
8/3k1rp1/1pn3p1/6P1/1P6/2B2P2/4R1K1/8 w - - 16 65,0
8/3k1rp1/1pn3p1/6P1/1P6/2B2P2/3R2K1/8 b - - 17 65,0
8/5rp1/1pn1k1p1/6P1/1P6/2B2P2/3R2K1/8 w - - 18 66,0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-21
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,15
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,-15
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,15
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-17
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,19
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,-10
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,20
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,-27
rnbqkb1r/pp3ppp/4p3/2pn4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,28
rnbqkb1r/pp3ppp/4p3/2pn4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6,-15
rnbqkb1r/pp3ppp/4p3/2p5/3PP3/2n2N2/PP3PPP/R1BQKB1R w KQkq - 0 7,23
rnbqkb1r/pp3ppp/4p3/2p5/3PP3/2P2N2/P4PPP/R1BQKB1R b KQkq - 0 7,-25
rnbqkb1r/pp3ppp/4p3/8/3pP3/2P2N2/P4PPP/R1BQKB1R w KQkq - 0 8,29
rnbqkb1r/pp3ppp/4p3/8/3PP3/5N2/P4PPP/R1BQKB1R b KQkq - 0 8,-32
rnbqk2r/pp3ppp/4p3/8/1b1PP3/5N2/P4PPP/R1BQKB1R w KQkq - 1 9,32
rnbqk2r/pp3ppp/4p3/8/1b1PP3/5N2/P2B1PPP/R2QKB1R b KQkq - 2 9,-30
rnbqk2r/pp3ppp/4p3/8/3PP3/5N2/P2b1PPP/R2QKB1R w KQkq - 0 10,30
rnbqk2r/pp3ppp/4p3/8/3PP3/5N2/P2Q1PPP/R3KB1R b KQkq - 0 10,-29
rnbq1rk1/pp3ppp/4p3/8/3PP3/5N2/P2Q1PPP/R3KB1R w KQ - 1 11,29
rnbq1rk1/pp3ppp/4p3/8/2BPP3/5N2/P2Q1PPP/R3K2R b KQ - 2 11,-33
r1bq1rk1/pp1n1ppp/4p3/8/2BPP3/5N2/P2Q1PPP/R3K2R w KQ - 3 12,35
r1bq1rk1/pp1n1ppp/4p3/8/2BPP3/5N2/P2Q1PPP/R4RK1 b - - 4 12,-30
r1bq1rk1/p2n1ppp/1p2p3/8/2BPP3/5N2/P2Q1PPP/R4RK1 w - - 0 13,31
r1bq1rk1/p2n1ppp/1p2p3/8/2BPP3/5N2/P2Q1PPP/3R1RK1 b - - 1 13,-33
r2q1rk1/pb1n1ppp/1p2p3/8/2BPP3/5N2/P2Q1PPP/3R1RK1 w - - 2 14,26
r2q1rk1/pb1n1ppp/1p2p3/8/2BPP3/5N2/P2Q1PPP/3RR1K1 b - - 3 14,-37
r2q1rk1/pb3ppp/1p2pn2/8/2BPP3/5N2/P2Q1PPP/3RR1K1 w - - 4 15,42
r2q1rk1/pb3ppp/1p2pn2/3P4/2B1P3/5N2/P2Q1PPP/3RR1K1 b - - 0 15,-32
r2q1rk1/pb3ppp/1p3n2/3p4/2B1P3/5N2/P2Q1PPP/3RR1K1 w - - 0 16,29
r2q1rk1/pb3ppp/1p3n2/3P4/2B5/5N2/P2Q1PPP/3RR1K1 b - - 0 16,-31
r4rk1/pb3ppp/1p1q1n2/3P4/2B5/5N2/P2Q1PPP/3RR1K1 w - - 1 17,26
r4rk1/pb3ppp/1p1q1n2/3P4/2BN4/8/P2Q1PPP/3RR1K1 b - - 2 17,-29
r4rk1/pb3p1p/1p1q1np1/3P4/2BN4/8/P2Q1PPP/3RR1K1 w - - 0 18,35
r4rk1/pb3p1p/1p1q1np1/3P2Q1/2BN4/8/P4PPP/3RR1K1 b - - 1 18,-31
4rrk1/pb3p1p/1p1q1np1/3P2Q1/2BN4/8/P4PPP/3RR1K1 w - - 2 19,25
4Rrk1/pb3p1p/1p1q1np1/3P2Q1/2BN4/8/P4PPP/3R2K1 b - - 0 19,-24
4nrk1/pb3p1p/1p1q2p1/3P2Q1/2BN4/8/P4PPP/3R2K1 w - - 0 20,19
4nrk1/pb3p1p/1p1q2p1/3P2Q1/3N4/1B6/P4PPP/3R2K1 b - - 1 20,-26
4nrk1/pb3p1p/1p3qp1/3P2Q1/3N4/1B6/P4PPP/3R2K1 w - - 2 21,13
4nrk1/pb3p1p/1p3Qp1/3P4/3N4/1B6/P4PPP/3R2K1 b - - 0 21,-18
5rk1/pb3p1p/1p3np1/3P4/3N4/1B6/P4PPP/3R2K1 w - - 0 22,16
5rk1/pb3p1p/1p3np1/1N1P4/8/1B6/P4PPP/3R2K1 b - - 1 22,-14
5rk1/1b3p1p/pp3np1/1N1P4/8/1B6/P4PPP/3R2K1 w - - 0 23,10
5rk1/1b3p1p/pp1N1np1/3P4/8/1B6/P4PPP/3R2K1 b - - 1 23,-11
b4rk1/5p1p/pp1N1np1/3P4/8/1B6/P4PPP/3R2K1 w - - 2 24,14
b4rk1/5p1p/pp1N1np1/3P4/8/1B3P2/P5PP/3R2K1 b - - 0 24,-26
b4rk1/5p1p/p2N1np1/1p1P4/8/1B3P2/P5PP/3R2K1 w - - 0 25,23
b4rk1/5p1p/p2N1np1/1p1P4/6P1/1B3P2/P6P/3R2K1 b - - 0 25,-21
b2r2k1/5p1p/p2N1np1/1p1P4/6P1/1B3P2/P6P/3R2K1 w - - 1 26,30
b2r2k1/5p1p/p4np1/1p1P4/4N1P1/1B3P2/P6P/3R2K1 b - - 2 26,-35
b2r4/5pkp/p4np1/1p1P4/4N1P1/1B3P2/P6P/3R2K1 w - - 3 27,44
b2r4/5pkp/p4np1/1p1P4/4N1P1/1B3P2/P4K1P/3R4 b - - 4 27,-53
b2r4/5pkp/5np1/pp1P4/4N1P1/1B3P2/P4K1P/3R4 w - - 0 28,50
b2r4/5pkp/5np1/pp1P4/4N1P1/PB3P2/5K1P/3R4 b - - 0 28,-9
b2r4/5pkp/5n2/pp1P2p1/4N1P1/PB3P2/5K1P/3R4 w - - 0 29,2
b2r4/5pkp/5n2/pp1P2p1/3RN1P1/PB3P2/5K1P/8 b - - 1 29,-1
b7/3r1pkp/5n2/pp1P2p1/3RN1P1/PB3P2/5K1P/8 w - - 2 30,-1
b7/3r1pkp/5n2/pp1P2p1/3R2P1/PBN2P2/5K1P/8 b - - 3 30,0
b7/3r1pk1/5n1p/pp1P2p1/3R2P1/PBN2P2/5K1P/8 w - - 0 31,0
b7/3r1pk1/5n1p/pp1P2p1/3R2P1/PBN2P1P/5K2/8 b - - 0 31,0
b7/3r1pk1/5n1p/p2P2p1/1p1R2P1/PBN2P1P/5K2/8 w - - 0 32,0
b7/3r1pk1/5n1p/p2P2p1/1P1R2P1/1BN2P1P/5K2/8 b - - 0 32,0
b7/3r1pk1/5n1p/3P2p1/1p1R2P1/1BN2P1P/5K2/8 w - - 0 33,0
b7/3r1pk1/5n1p/3P2p1/1R4P1/1BN2P1P/5K2/8 b - - 0 33,0
8/3r1pk1/5n1p/3b2p1/1R4P1/1BN2P1P/5K2/8 w - - 0 34,0
8/3r1pk1/5n1p/3B2p1/1R4P1/2N2P1P/5K2/8 b - - 0 34,0
8/3r1pk1/7p/3n2p1/1R4P1/2N2P1P/5K2/8 w - - 0 35,0
8/3r1pk1/7p/3n2p1/3R2P1/2N2P1P/5K2/8 b - - 1 35,0
8/3r1pk1/5n1p/6p1/3R2P1/2N2P1P/5K2/8 w - - 2 36,0
8/3R1pk1/5n1p/6p1/6P1/2N2P1P/5K2/8 b - - 0 36,0
8/3n1pk1/7p/6p1/6P1/2N2P1P/5K2/8 w - - 0 37,0
8/3n1pk1/7p/3N2p1/6P1/5P1P/5K2/8 b - - 1 37,0
8/5pk1/7p/3Nn1p1/6P1/5P1P/5K2/8 w - - 2 38,0
8/5pk1/7p/3Nn1p1/6P1/4KP1P/8/8 b - - 3 38,0
8/5pk1/7p/3N2p1/2n3P1/4KP1P/8/8 w - - 4 39,0
8/5pk1/7p/3N2p1/2n1K1P1/5P1P/8/8 b - - 5 39,0
8/5pk1/7p/3N2p1/4K1P1/5P1P/3n4/8 w - - 6 40,0
8/5pk1/7p/3N2p1/6P1/4KP1P/3n4/8 b - - 7 40,0
8/5pk1/7p/3N2p1/2n3P1/4KP1P/8/8 w - - 8 41,0
8/5pk1/7p/3N2p1/2nK2P1/5P1P/8/8 b - - 9 41,0
8/5pk1/7p/3N2p1/3K2P1/5P1P/1n6/8 w - - 10 42,0
8/5pk1/7p/6p1/3K2P1/4NP1P/1n6/8 b - - 11 42,0
8/5pk1/8/6pp/3K2P1/4NP1P/1n6/8 w - - 0 43,0
8/5pk1/8/4K1pp/6P1/4NP1P/1n6/8 b - - 1 43,0
8/5p2/6k1/4K1pp/6P1/4NP1P/1n6/8 w - - 2 44,0
8/5p2/6k1/6pp/3K2P1/4NP1P/1n6/8 b - - 3 44,0
8/5pk1/8/6pp/3K2P1/4NP1P/1n6/8 w - - 4 45,0
8/5pk1/8/6pp/4K1P1/4NP1P/1n6/8 b - - 5 45,0
8/5p2/6k1/6pp/4K1P1/4NP1P/1n6/8 w - - 6 46,0
8/5p2/6k1/6pp/3K2P1/4NP1P/1n6/8 b - - 7 46,0
8/8/5pk1/6pp/3K2P1/4NP1P/1n6/8 w - - 0 47,-2
8/8/5pk1/3N2pp/3K2P1/5P1P/1n6/8 b - - 1 47,0
8/8/5pk1/3N2pp/3K2P1/5P1P/8/3n4 w - - 2 48,0
8/8/5pk1/3N2pP/3K4/5P1P/8/3n4 b - - 0 48,0
8/8/5p2/3N2pk/3K4/5P1P/8/3n4 w - - 0 49,0
8/8/5N2/6pk/3K4/5P1P/8/3n4 b - - 0 49,0
8/8/5N2/6p1/3K3k/5P1P/8/3n4 w - - 1 50,0
8/8/8/6p1/3KN2k/5P1P/8/3n4 b - - 2 50,0
8/8/8/6p1/3KN3/5P1k/8/3n4 w - - 0 51,0
8/8/8/6N1/3K4/5P1k/8/3n4 b - - 0 51,0
8/8/8/6N1/3K4/5Pk1/8/3n4 w - - 1 52,0
8/8/8/6N1/4K3/5Pk1/8/3n4 b - - 2 52,0
8/8/8/6N1/4K3/5Pk1/5n2/8 w - - 3 53,0
8/8/8/6N1/8/4KPk1/5n2/8 b - - 4 53,0
8/8/8/6N1/8/4KPk1/8/3n4 w - - 5 54,0
8/8/8/6N1/4K3/5Pk1/8/3n4 b - - 6 54,0
8/8/8/6N1/4K3/5Pk1/5n2/8 w - - 7 55,0
8/8/8/6N1/8/4KPk1/5n2/8 b - - 8 55,0
8/8/8/6N1/6n1/4KPk1/8/8 w - - 9 56,0
8/8/8/6N1/4K1n1/5Pk1/8/8 b - - 10 56,0
8/8/5n2/6N1/4K3/5Pk1/8/8 w - - 11 57,0
8/8/5n2/4K1N1/8/5Pk1/8/8 b - - 12 57,0
8/8/8/4K1Nn/8/5Pk1/8/8 w - - 13 58,0
8/8/8/6Nn/4K3/5Pk1/8/8 b - - 14 58,0
8/8/8/6N1/4Kn2/5Pk1/8/8 w - - 15 59,0
8/8/8/6N1/5n2/4KPk1/8/8 b - - 16 59,0
8/8/8/6N1/8/4KPk1/6n1/8 w - - 17 60,0
8/8/8/6N1/4K3/5Pk1/6n1/8 b - - 18 60,0
8/8/8/6N1/4Kn2/5Pk1/8/8 w - - 19 61,0
8/8/8/6N1/5n2/4KPk1/8/8 b - - 20 61,0
8/8/8/3n2N1/8/4KPk1/8/8 w - - 21 62,0
8/8/8/3n2N1/4K3/5Pk1/8/8 b - - 22 62,0
8/8/5n2/6N1/4K3/5Pk1/8/8 w - - 23 63,0
8/8/5n2/4K1N1/8/5Pk1/8/8 b - - 24 63,0
8/3n4/8/4K1N1/8/5Pk1/8/8 w - - 25 64,0
8/3n4/8/5KN1/8/5Pk1/8/8 b - - 26 64,0
8/8/8/2n2KN1/8/5Pk1/8/8 w - - 27 65,0
8/8/8/2n1K1N1/8/5Pk1/8/8 b - - 28 65,0
8/8/8/4K1N1/8/3n1Pk1/8/8 w - - 29 66,0
8/8/8/6N1/4K3/3n1Pk1/8/8 b - - 30 66,0
8/8/8/2n3N1/4K3/5Pk1/8/8 w - - 31 67,0
8/8/8/2n2KN1/8/5Pk1/8/8 b - - 32 67,0
8/8/8/5KN1/8/3n1Pk1/8/8 w - - 33 68,0
8/8/8/6N1/4K3/3n1Pk1/8/8 b - - 34 68,0
8/8/8/2n3N1/4K3/5Pk1/8/8 w - - 35 69,0
8/8/8/2n1K1N1/8/5Pk1/8/8 b - - 36 69,0
8/3n4/8/4K1N1/8/5Pk1/8/8 w - - 37 70,0
8/3n4/8/5KN1/8/5Pk1/8/8 b - - 38 70,0
8/8/1n6/5KN1/8/5Pk1/8/8 w - - 39 71,0
8/8/1n6/4K1N1/8/5Pk1/8/8 b - - 40 71,0
8/8/8/4K1N1/2n5/5Pk1/8/8 w - - 41 72,0
8/8/8/6N1/2nK4/5Pk1/8/8 b - - 42 72,0
8/8/1n6/6N1/3K4/5Pk1/8/8 w - - 43 73,0
8/8/1n6/6N1/4K3/5Pk1/8/8 b - - 44 73,0
8/8/8/6N1/2n1K3/5Pk1/8/8 w - - 45 74,0
8/8/8/6N1/2n1KP2/6k1/8/8 b - - 0 74,0
8/8/3n4/6N1/4KP2/6k1/8/8 w - - 1 75,0
8/8/3n4/4K1N1/5P2/6k1/8/8 b - - 2 75,0
8/8/3n4/4K1N1/5Pk1/8/8/8 w - - 3 76,0
8/8/3nN3/4K3/5Pk1/8/8/8 b - - 4 76,0
8/8/4N3/4K3/2n2Pk1/8/8/8 w - - 5 77,0
8/8/4N3/8/2nK1Pk1/8/8/8 b - - 6 77,0
8/8/4N3/8/3K1Pk1/8/3n4/8 w - - 7 78,0
8/8/4N3/4K3/5Pk1/8/3n4/8 b - - 8 78,0
8/8/4N3/4K3/2n2Pk1/8/8/8 w - - 9 79,0
8/8/4N3/8/2nK1Pk1/8/8/8 b - - 10 79,0
8/8/4N3/8/3K1Pk1/8/3n4/8 w - - 11 80,0
8/8/4N3/4K3/5Pk1/8/3n4/8 b - - 12 80,0
8/8/4N3/4K3/2n2Pk1/8/8/8 w - - 13 81,0
8/8/4N3/8/2nK1Pk1/8/8/8 b - - 14 81,0
8/8/3nN3/8/3K1Pk1/8/8/8 w - - 15 82,0
8/8/3nN3/3K4/5Pk1/8/8/8 b - - 16 82,0
2n5/8/4N3/3K4/5Pk1/8/8/8 w - - 17 83,0
2n5/8/4N3/4K3/5Pk1/8/8/8 b - - 18 83,0
8/4n3/4N3/4K3/5Pk1/8/8/8 w - - 19 84,0
8/4n3/4N3/8/4KPk1/8/8/8 b - - 20 84,0
8/8/4N3/5n2/4KPk1/8/8/8 w - - 21 85,0
8/8/8/5n2/3NKPk1/8/8/8 b - - 22 85,0
8/8/3n4/8/3NKPk1/8/8/8 w - - 23 86,0
8/8/3n4/4K3/3N1Pk1/8/8/8 b - - 24 86,0
8/5n2/8/4K3/3N1Pk1/8/8/8 w - - 25 87,0
8/5n2/8/8/3NKPk1/8/8/8 b - - 26 87,0
8/8/3n4/8/3NKPk1/8/8/8 w - - 27 88,0
8/8/3n4/4K3/3N1Pk1/8/8/8 b - - 28 88,0
8/5n2/8/4K3/3N1Pk1/8/8/8 w - - 29 89,0
8/5n2/8/8/3NKPk1/8/8/8 b - - 30 89,0
8/5n2/8/8/3NKP1k/8/8/8 w - - 31 90,0
8/5n2/8/5N2/4KP1k/8/8/8 b - - 32 90,0
8/5n2/8/5N1k/4KP2/8/8/8 w - - 33 91,0
8/5n2/8/7k/4KP2/4N3/8/8 b - - 34 91,0
8/5n2/6k1/8/4KP2/4N3/8/8 w - - 35 92,0
8/5n2/6k1/3N4/4KP2/8/8/8 b - - 36 92,0
8/8/3n2k1/3N4/4KP2/8/8/8 w - - 37 93,0
8/8/3n2k1/3NK3/5P2/8/8/8 b - - 38 93,0
8/5n2/6k1/3NK3/5P2/8/8/8 w - - 39 94,0
8/5n2/6k1/3N4/4KP2/8/8/8 b - - 40 94,0
8/8/6k1/3N2n1/4KP2/8/8/8 w - - 41 95,0
8/8/6k1/3N2P1/4K3/8/8/8 b - - 0 95,0
8/8/8/3N2k1/4K3/8/8/8 w - - 0 96,0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-17
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,19
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,-14
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,14
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-8
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,12
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,-13
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR w KQ - 1 5,5
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP1B1PPP/R2QKBNR b KQ - 2 5,-5
rnbq1rk1/p1pp1ppp/1p2pn2/8/1bPP4/2N1P3/PP1B1PPP/R2QKBNR w KQ - 0 6,3
rnbq1rk1/p1pp1ppp/1p2pn2/8/1bPP4/2NBP3/PP1B1PPP/R2QK1NR b KQ - 1 6,-10
rn1q1rk1/pbpp1ppp/1p2pn2/8/1bPP4/2NBP3/PP1B1PPP/R2QK1NR w KQ - 2 7,15
rn1q1rk1/pbpp1ppp/1p2pn2/8/1bPP4/2NBPN2/PP1B1PPP/R2QK2R b KQ - 3 7,-16
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPP4/2NBPN2/PP1B1PPP/R2QK2R w KQ - 0 8,6
rn1q1rk1/pbp2ppp/1p2pn2/3P4/1b1P4/2NBPN2/PP1B1PPP/R2QK2R b KQ - 0 8,-10
rn1q1rk1/pbp2ppp/1p2pn2/3P4/3P4/2bBPN2/PP1B1PPP/R2QK2R w KQ - 0 9,5
rn1q1rk1/pbp2ppp/1p2pn2/3P4/3P4/2BBPN2/PP3PPP/R2QK2R b KQ - 0 9,-9
rn1q1rk1/pbp2ppp/1p2p3/3n4/3P4/2BBPN2/PP3PPP/R2QK2R w KQ - 0 10,3
rn1q1rk1/pbp2ppp/1p2p3/3n4/3P4/3BPN2/PP1B1PPP/R2QK2R b KQ - 1 10,-9
r2q1rk1/pbpn1ppp/1p2p3/3n4/3P4/3BPN2/PP1B1PPP/R2QK2R w KQ - 2 11,6
r2q1rk1/pbpn1ppp/1p2p3/3n4/1P1P4/3BPN2/P2B1PPP/R2QK2R b KQ - 0 11,-4
r4rk1/pbpnqppp/1p2p3/3n4/1P1P4/3BPN2/P2B1PPP/R2QK2R w KQ - 1 12,7
r4rk1/pbpnqppp/1p2p3/3n4/1P1P4/3BPN2/P2B1PPP/RQ2K2R b KQ - 2 12,-15
r4rk1/pbpnqppp/1p2pn2/8/1P1P4/3BPN2/P2B1PPP/RQ2K2R w KQ - 3 13,33
r4rk1/pbpnqppp/1p2pn2/8/1P1PP3/3B1N2/P2B1PPP/RQ2K2R b KQ - 0 13,-25
r4rk1/pbpnqppp/1p3n2/4p3/1P1PP3/3B1N2/P2B1PPP/RQ2K2R w KQ - 0 14,18
r4rk1/pbpnqppp/1p3n2/4p3/1P1PP3/3B1N2/P2B1PPP/RQ3RK1 b - - 1 14,-18
r4rk1/pbpnqppp/1p3n2/8/1P1pP3/3B1N2/P2B1PPP/RQ3RK1 w - - 0 15,22
r4rk1/pbpnqppp/1p3n2/8/1P1pP3/3B1N2/P2B1PPP/RQ2R1K1 b - - 1 15,-18
r4rk1/pbp1qppp/1p3n2/4n3/1P1pP3/3B1N2/P2B1PPP/RQ2R1K1 w - - 2 16,17
r4rk1/pbp1qppp/1p3n2/4N3/1P1pP3/3B4/P2B1PPP/RQ2R1K1 b - - 0 16,-11
r4rk1/pbp2ppp/1p3n2/4q3/1P1pP3/3B4/P2B1PPP/RQ2R1K1 w - - 0 17,14
r4rk1/pbp2ppp/1p3n2/4q3/1P1pP3/3B1P2/P2B2PP/RQ2R1K1 b - - 0 17,-6
r4rk1/pbp2ppp/1p6/4q2n/1P1pP3/3B1P2/P2B2PP/RQ2R1K1 w - - 1 18,-3
r4rk1/pbp2ppp/1p6/4q2n/1P1pP3/3B1P2/P2B2PP/R1Q1R1K1 b - - 2 18,-4
2r2rk1/pbp2ppp/1p6/4q2n/1P1pP3/3B1P2/P2B2PP/R1Q1R1K1 w - - 3 19,-8
2r2rk1/pbp2ppp/1p6/4q2n/1P1pPP2/3B4/P2B2PP/R1Q1R1K1 b - - 0 19,11
2r2rk1/pbp1qppp/1p6/7n/1P1pPP2/3B4/P2B2PP/R1Q1R1K1 w - - 1 20,-15
2r2rk1/pbp1qppp/1p6/4P2n/1P1p1P2/3B4/P2B2PP/R1Q1R1K1 b - - 0 20,6
2r2rk1/pbp2ppp/1p6/4P2n/1P1p1P1q/3B4/P2B2PP/R1Q1R1K1 w - - 1 21,-32
2r2rk1/pbp2ppp/1p6/4P2n/1P1p1P1q/3B4/P2BR1PP/R1Q3K1 b - - 2 21,36
2r2rk1/p1p2ppp/1p6/3bP2n/1P1p1P1q/3B4/P2BR1PP/R1Q3K1 w - - 3 22,-39
2r2rk1/p1p2ppp/1p6/3bP2n/1P1p1P1q/3B4/P2B1RPP/R1Q3K1 b - - 4 22,22
